Open-1,Open-2,Open-3,High-1,High-2,High-3,Low-1,Low-2,Low-3,Volume-1,Volume-2,Volume-3,Target
170.97,172.58,164.88,172.48,174.23,172.01,168.2,172.08,164.77,34949690.0,26750260.0,34581850.0,169.88
311.64,310.6,307.24,317.07,312.67,310.43,311.15,308.25,306.2,30521720.0,35217270.0,42621540.0,316.7
168.99,172.4,174.65,170.66,173.94,175.57,168.42,170.34,172.85,23793830.0,31644240.0,28204640.0,171.05
157.23,156.91,156.29,157.83,157.55,157.42,156.78,155.27,156.2,16916650.0,21175670.0,17633730.0,159.29
116.35,116.8,116.74,116.51,117.4,117.5,115.64,116.78,116.68,26043820.0,23724430.0,21337310.0,115.59
174.88,173.63,172.4,177.2,174.17,173.13,174.86,172.46,171.65,29385650.0,40122100.0,20442740.0,175.03
175.44,175.6,176.23,179.83,177.92,177.99,174.52,170.27,174.99,30967960.0,40396070.0,27043580.0,184.28
119.4,120.0,118.34,120.09,120.5,120.24,119.37,119.71,118.22,25554290.0,23687350.0,34412090.0,120.45
96.0,103.91,105.0,98.71,105.3,105.65,95.68,103.91,104.51,114436300.0,52979780.0,27997990.0,97.61
144.73,144.11,142.9,145.85,145.95,144.75,144.38,143.37,142.9,18647220.0,21080580.0,18527000.0,145.87
110.82,112.73,110.0,112.45,112.75,112.28,110.68,111.44,109.49,32970790.0,30386830.0,52720620.0,111.29
139.41,139.3,138.85,140.75,139.65,139.43,139.03,138.84,138.82,25676720.0,15281850.0,17048800.0,140.72
169.87,167.9,163.89,169.94,169.65,168.07,165.61,166.94,163.72,33482970.0,35779520.0,44651420.0,167.64
222.3,218.93,221.16,222.64,222.99,221.83,219.34,216.76,217.27,22692880.0,28802550.0,30280450.0,217.86
108.23,107.52,106.27,108.94,108.37,107.65,108.01,107.16,106.18,26296260.0,28010430.0,39546610.0,108.71
256.77,257.05,257.33,257.49,258.19,257.85,255.37,256.32,255.38,18966120.0,19974430.0,25817950.0,258.74
160.5,160.86,162.09,162.05,161.15,162.24,159.89,158.53,160.36,31506890.0,28411740.0,21905160.0,162.61
100.78,102.39,102.37,101.76,102.83,103.75,100.4,100.96,101.37,31538710.0,35890740.0,46026600.0,101.31
219.96,217.73,220.0,220.82,220.13,220.79,219.12,217.56,217.02,18386470.0,21158140.0,39763300.0,221.06
324.45,312.6,310.06,327.85,318.4,311.77,321.38,312.19,304.88,54149930.0,40558490.0,40485010.0,320.54
151.78,149.99,152.02,153.92,151.83,152.27,151.69,149.16,150.56,35907770.0,44366140.0,46575410.0,153.8
148.3,148.15,156.86,157.23,151.55,158.16,146.72,146.59,149.63,58133850.0,37169230.0,95497900.0,155.84
174.67,175.94,175.69,175.49,176.0,177.75,173.94,174.54,173.97,20755140.0,19238480.0,27413060.0,173.87
291.12,284.82,284.69,293.97,289.98,284.89,288.12,284.7,282.92,36592940.0,23334000.0,12119710.0,289.46
169.2,170.49,169.03,172.89,171.0,170.44,168.79,168.82,168.91,34260890.0,23285760.0,25656110.0,172.15
191.9,194.99,194.61,192.2,195.19,195.96,189.07,190.1,193.61,20912890.0,23975350.0,19005150.0,190.3
108.97,108.91,109.95,110.61,109.77,110.42,108.83,108.17,108.12,29357940.0,23553790.0,31735810.0,109.34
111.65,108.97,112.49,112.56,110.45,112.78,110.32,108.51,110.04,54507300.0,49904460.0,53142590.0,113.76
192.9,191.55,194.7,194.96,193.59,196.79,192.17,190.3,193.6,14669140.0,18761470.0,21674630.0,196.05
191.78,189.69,191.78,192.43,192.55,191.8,190.17,189.69,189.93,20670830.0,20182050.0,16365720.0,190.68
